,Air_TempC_Avg,Air_TempC_Max,Air_TempC_Min,Relative_Humidity_Avg,Relative_Humidity_Max,Relative_Humidity_Min,Ppt_mm_Tot,Date_datetime,frost
332,9.21,24.18,-6.99,20.58,40.94,9.55,0.0,2018-02-09,1
333,15.14,22.71,6.49,14.71,19.86,10.21,0.0,2018-02-10,0
334,10.76,17.35,3.52,28.81,42.01,17.17,0.0,2018-02-11,0
335,9.73,18.92,-0.3,33.44,53.34,21.16,0.0,2018-02-12,1
336,11.54,21.11,-2.53,27.64,58.89,14.31,0.0,2018-02-13,1
337,13.62,21.31,4.38,33.87,62.22,17.99,0.0,2018-02-14,0
338,12.49,14.27,10.3,84.5,97.2,60.07,4.1,2018-02-15,0
339,10.05,12.28,7.84,96.3,99.1,91.8,10.0,2018-02-16,0
340,10.31,16.03,5.3,85.1,100.0,51.07,0.6,2018-02-17,0
341,12.26,19.85,4.06,74.55,99.6,38.29,0.0,2018-02-18,0
342,13.39,19.26,9.83,58.9,87.6,32.25,0.0,2018-02-19,0
343,9.35,14.67,1.14,57.71,91.4,40.73,0.0,2018-02-20,0
